station_id,station_name,n,acc,pos_rate
354170125,LÊBORK,362,0.7182,0.2873
349220690,LESKO,363,0.6997,0.3747
351160418,LESZNO,363,0.6915,0.3774
353150210,RESKO-SMÓLSKO,360,0.6889,0.3611
354190160,ELBL¥G-MILEJEWO,363,0.6887,0.3747
350200575,TARNÓW,356,0.6854,0.3567
350190560,KATOWICE-MUCHOWIEC,365,0.6849,0.411
349200628,HALA G¥SIENICOWA,361,0.6842,0.3961
352140310,S£UBICE,365,0.6795,0.4247
351160415,LEGNICA,361,0.6787,0.4155
351150400,ZIELONA GÓRA,363,0.6777,0.4105
350150510,NIE¯KA,365,0.6767,0.3726
354160105,KOSZALIN,363,0.6749,0.3912
352150300,GORZÓW WIELKOPOLSKI,365,0.6712,0.389
354220195,SUWA£KI,363,0.6694,0.4242
353160230,PI£A,363,0.6694,0.3829
354160115,USTKA,364,0.6676,0.3764
353170235,CHOJNICE,365,0.6658,0.3808
354180135,HEL,365,0.6658,0.4274
349190625,ZAKOPANE,365,0.6658,0.3616
350210585,SANDOMIERZ,363,0.6639,0.4683
353210280,MIKO£AJKI,363,0.6612,0.4187
352160330,POZNAÑ-£AWICA,365,0.6603,0.4
350180540,RACIBÓRZ,365,0.6603,0.3808
349190600,BIELSKO-BIA£A,365,0.6603,0.3973
353230295,BIA£YSTOK,365,0.6603,0.4521
350200570,KIELCE-SUKÓW,361,0.6593,0.41
350170530,OPOLE,363,0.6584,0.3967
350230595,ZAMOÆ,360,0.6583,0.4167
351190465,£ÓD-LUBLINEK,365,0.6575,0.4219
349190650,KASPROWY WIERCH,365,0.6575,0.4
353200272,OLSZTYN,365,0.6575,0.4027
351230497,W£ODAWA,365,0.6575,0.4301
352200375,WARSZAWA-OKÊCIE,365,0.6548,0.4521
351180455,WIELUÑ,365,0.6548,0.4082
350160520,K£ODZKO,363,0.6529,0.3747
353200270,M£AWA,363,0.6529,0.4325
353140205,SZCZECIN,365,0.6493,0.4301
354170120,£EBA,365,0.6466,0.411
349210670,KROSNO,365,0.6466,0.411
351160424,WROC£AW-STRACHOWICE,365,0.6411,0.4274
352180345,KO£O,363,0.6391,0.405
354180155,GDAÑSK-WIBNO,363,0.6364,0.4298
352220385,SIEDLCE,363,0.6364,0.416
354210185,KÊTRZYN,363,0.6364,0.3912
351190469,SULEJÓW,365,0.6356,0.411
350220580,RZESZÓW-JASIONKA,365,0.6356,0.474
352230399,TERESPOL,363,0.6336,0.4711
350150500,JELENIA GÓRA,365,0.6329,0.4384
351220495,LUBLIN-RADAWIEC,365,0.6274,0.4849
353140200,WINOUJCIE,365,0.6219,0.4356
352190360,P£OCK,364,0.6209,0.4231
353180250,TORUÑ,363,0.6198,0.4105
350190550,CZÊSTOCHOWA,365,0.6192,0.3808
351180435,KALISZ,365,0.6192,0.4658
350190566,KRAKÓW-BALICE,365,0.6164,0.4685
349200660,NOWY S¥CZ,365,0.6137,0.3918
351210488,KOZIENICE,363,0.6061,0.4463
354150100,KO£OBRZEG-DWIRZYNO,365,0.6,0.463
